      Largest deviation:   0.29 kcal/mol
Mean absolute deviation:   0.06 kcal/mol
                                                      SMILES    benchmark (kcal/mol)     raw data (kcal/mol)  fitted data (kcal/mol)          residual error
                                                         [H]                   52.10                   52.10                   52.10                    0.00
                                                      [H][H]                    0.00                   -0.59                    0.00                    0.00
                                                       [O]-T                   59.57                   59.55                   59.55                   -0.02
                                                      [O][O]                    0.00                    3.47                    0.00                    0.00
                                                         O=O                    0.00                   32.80                    0.00                    0.00
                                                  O=[O+][O-]                   33.88                   42.45                   33.88                    0.00
                                                        [OH]                    8.97                    9.12                    8.97                   -0.00
                                                        [O]O                    2.92                    5.69                    2.92                    0.00
                                                           O                  -57.79                  -57.54                  -57.69                    0.10
                                                          OO                  -32.36                  -30.72                  -32.36                    0.00
                                                       [C]-T                  171.34                  171.29                  171.29                   -0.05
                                                      [CH]-D                  142.49                  142.29                  142.49                   -0.00
                                                     [CH2]-T                   93.59                   93.78                   93.59                    0.00
                                                       [CH3]                   35.01                   34.85                   34.86                   -0.15
                                                           C                  -17.81                  -18.15                  -17.71                    0.10
                                                        [C]O                   52.01                   53.96                   52.01                    0.00
                                                       [CH]O                   26.03                   53.46                   26.03                    0.00
                                                      [CH2]O                   -3.98                   -2.35                   -3.98                    0.00
                                                        C[O]                    5.15                    6.17                    5.15                    0.00
                                                       [CH]O                   26.03                   53.46                   26.03                    0.00
                                                          CO                  -48.02                  -47.28                  -48.20                   -0.18
                                                   [C-]#[O+]                  -26.42                  -23.12                  -26.42                    0.00
                                                     [C]#[C]                  199.81                  202.78                  199.81                    0.00
                                                       O=C=O                  -94.04                  -88.26                  -94.00                    0.04
                                                      [CH]=O                    9.98                   13.06                   10.04                    0.06
                                                         C=O                  -26.11                  -23.88                  -26.25                   -0.14
                                                     [C]=C=O                   91.10                   96.44                   91.10                    0.00
                                                      O=[C]O                  -42.39                  -37.54                  -42.39                    0.00
                                                        O=CO                  -90.43                  -86.60                  -90.49                   -0.06
                                                       [C]#C                  135.73                  138.70                  135.73                    0.00
                                                   [CH]=[CH]                   54.57                  159.90                   54.57                   -0.00
                                                         C#C                   54.57                   57.44                   54.67                    0.10
                                                       [C]=C                  145.83                  148.50                  145.83                    0.00
                                                    [CH]=C=O                   42.58                   47.83                   42.58                    0.00
                                                        [C]C                  120.67                  121.56                  120.67                    0.00
                                                         C=C                   12.52                   13.97                   12.36                   -0.16
                                                  [CH2][CH2]                   12.52                   79.63                   12.52                   -0.00
                                                      [CH2]C                   28.83                   29.41                   28.74                   -0.09
                                                          CC                  -20.08                  -20.03                  -20.18                   -0.10
                                                      C#C[O]                   43.93                   47.83                   43.93                    0.00
                                                        C#CO                   22.18                   26.08                   22.18                    0.00
                                                       C=C=O                  -11.57                   -7.13                  -11.65                   -0.08
                                                       C1CO1                  -12.55                   -9.74                  -12.45                    0.10
                                                         CCO                  -56.18                  -54.70                  -56.20                   -0.02
                                                        CC=O                  -39.57                  -36.44                  -39.43                    0.14
                                                       O=COO                  -68.92                  -59.74                  -68.92                    0.00
                                                       CCC=O                  -44.60                  -41.15                  -44.73                   -0.13
                                                       C=COC                  -25.53                  -19.74                  -25.53                    0.00
                                                      [C]C=C                  131.66                  136.25                  131.66                    0.00
                                                      [C]C#C                  172.66                  177.83                  172.66                    0.00
                                                     [CH]C#C                  133.14                  136.11                  133.14                    0.00
                                                    C#C[CH2]                   84.00                   88.57                   84.00                    0.00
                                                        C#CC                   44.34                   47.80                   44.25                   -0.09
                                                       C=C=C                   45.40                   48.73                   45.42                    0.02
                                                      C=[C]C                   60.38                   63.61                   60.38                   -0.00
                                                     [CH]C=C                   98.11                  102.18                   98.11                    0.00
                                                        C=CC                    4.78                    6.91                    4.68                   -0.10
                                                       C1CC1                   12.88                   14.67                   12.91                    0.03
                                                     [CH2]CC                   24.13                   25.42                   24.16                    0.03
                                                       C[C]C                   74.98                   77.21                   74.98                   -0.00
                                                         CCC                  -25.10                  -24.44                  -25.18                   -0.08
                                                   [CH2]OC=O                  -38.15                  -28.77                  -38.15                    0.00
                                                    C=[C]C=C                   75.79                   81.32                   75.85                    0.06
                                                      C=CC=O                  -15.68                  -10.54                  -15.56                    0.12
                                                    O=[C]C=O                  -15.43                   -8.62                  -15.69                   -0.26
                                                    [CH]OC=C                   78.33                   83.39                   78.33                    0.00
                                                     CC(C)=O                  -51.85                  -47.97                  -51.58                    0.27
                                                      C#CC#C                  109.96                  116.98                  109.96                    0.00
                                                   [CH]=CC#C                  130.16                  136.39                  130.10                   -0.06
                                                    C#C[C]=C                  118.85                  125.26                  118.85                    0.00
