      Largest deviation:   0.30 kcal/mol
Mean absolute deviation:   0.03 kcal/mol
                                                      SMILES            original RED              fitted RED             residue RED

                                                       CCCCC                   -0.01                    0.02                    0.03
                                                      CCCCCC                    0.01                    0.04                    0.03
                                                     CCCCCCC                    0.03                    0.06                    0.03
                                                    CCCCCCCC                    0.07                    0.08                    0.01
                                                   CCCCCCCCC                    0.10                    0.10                    0.00
                                                  CCCCCCCCCC                    0.13                    0.12                   -0.01
                                                       CCCCO                    0.02                    0.02                    0.00
                                                       CCCOC                   -0.34                   -0.17                    0.17
                                                       CCOCC                   -0.03                    0.07                    0.10
                                                      CCCCCO                    0.05                    0.04                   -0.01
                                                      OCCCCO                    0.07                    0.04                   -0.03
                                                     CCCOCCC                   -0.18                   -0.27                   -0.09
                                                    CCC(C)CC                    0.03                    0.06                    0.03
                                                    COC(C)OC                   -1.05                   -1.05                    0.00
                                                   CCC(CC)CC                   -0.04                   -0.07                   -0.03
                                                 CCC(C)(C)CC                    0.06                    0.06                    0.00
                                               CCC(CC)(CC)CC                    0.08                    0.08                    0.00
                                                    CCCC(C)C                   -0.05                   -0.05                    0.00
                                                 CCCC(C)(C)C                   -0.09                   -0.09                    0.00
                                                    CCC(O)CC                   -1.04                   -1.04                    0.00
                                                 CC(C)CC(C)C                   -0.10                   -0.10                    0.00
                                                 CC(C)OC(C)C                   -0.49                   -0.49                    0.00
                                                     C=CCC=C                   -0.21                   -0.21                   -0.00
                                             CCC(C)(C)C(C)=O                   -0.33                   -0.33                    0.00
                                                    C=CCC=CC                   -0.18                   -0.18                    0.00
                                                    C=CCCC=C                   -0.14                   -0.15                   -0.01
                                                      C=CCCC                   -0.03                   -0.07                   -0.04
                                                     C=CCCCC                   -0.03                   -0.05                   -0.02
                                                   C=C(CC)CC                   -0.37                   -0.39                   -0.02
                                                      CCCC=O                   -0.10                   -0.07                    0.03
                                                      CC=CCC                   -0.02                    0.03                    0.05
                                                      CC=CCO                    0.11                    0.03                   -0.08
                                                     CC=CCCC                   -0.06                   -0.04                    0.02
                                                     CCC=CCC                   -0.02                   -0.02                    0.00
                                                   C=C(CC)CC                   -0.37                   -0.39                   -0.02
                                                   C=CCC(C)C                   -0.37                   -0.37                    0.00
                                                   CCC(=O)CC                    0.08                    0.12                    0.04
                                                  CCC(=O)COO                   -0.09                   -0.09                    0.00
                                                   CCCCCCC=O                   -0.04                   -0.01                    0.03
                                          CC(=O)C(C)(C)C(C)C                   -0.44                   -0.44                   -0.00
                                       CC(=O)C(C)(C)C(C)(C)C                   -0.85                   -0.85                    0.00
                                       CC(C)(C)C(=O)C(C)(C)C                    0.24                    0.24                    0.00
                                                      C#CCCC                    0.03                   -0.04                   -0.07
                                                     C#CCCCC                    0.06                   -0.02                   -0.08
                                                     C#CCC#C                   -0.63                   -0.60                    0.03
                                                    C#CCC#CC                   -0.51                   -0.54                   -0.03
                                                    C#CCCC#C                   -0.18                   -0.08                    0.10
                                                      CC#CCC                   -0.01                    0.06                    0.07
                                                     CC#CCCC                    0.05                    0.01                   -0.04
                                                     CCC#CCC                    0.00                   -0.00                   -0.00
                                                     [C]CCCC                    0.03                    0.02                   -0.01
                                                    [CH]CCCC                    0.04                    0.02                   -0.02
                                                   [CH2]CCCC                    0.02                    0.02                    0.00
                                               [CH2]C(C)=CCC                    0.31                    0.31                   -0.00
                                                  [CH2]C=CCC                   -0.03                   -0.03                    0.00
                                              [CH2]C=CC(C)CC                    0.33                    0.33                   -0.00
                                             [CH2]C=CC(CC)CC                    0.35                    0.35                   -0.00
                                              [CH2]C(=CCC)CC                   -1.69                   -1.69                   -0.00
                                               [CH2]C(C=C)CC                    0.00                    0.00                    0.00
                                                     C[C]CCC                    0.10                    0.10                    0.00
                                                    C[CH]CCC                   -0.04                   -0.04                    0.00
                                                  C[CH]C=CCC                    0.31                    0.31                    0.00
                                                     CC[C]CC                   -0.01                   -0.01                    0.00
                                                    CC[CH]CC                   -0.02                   -0.02                    0.00
                                                 CC[CH]C(C)C                   -0.08                   -0.08                    0.00
                                                  CCC[C](C)C                    0.18                    0.18                    0.00
                                                 CCC[C]=CCCC                   -0.34                   -0.34                   -0.00
                                                   C=CC[CH]C                    0.00                    0.00                    0.00
                                                 C=C[C](C)CC                    0.34                    0.34                   -0.00
                                                C=C[C](CC)CC                    0.12                    0.12                   -0.00
                                                  CC=C[CH]CC                   -0.01                   -0.01                   -0.00
                                                     C1CCCC1                   -0.48                   -0.73                   -0.25
                                                    C1CCCCC1                   -1.02                   -0.88                    0.14
                                                     C1CCOC1                   -0.42                   -0.12                    0.30
                                                    C1COCCO1                    0.50                    0.35                   -0.15
                                                   C1CC12CC2                   -2.43                   -2.42                    0.01
                                                  C1CC2CC2C1                   -2.14                   -2.14                   -0.00
                                             C1C2C3C2C2C1C32                   -3.48                   -3.49                   -0.01
                                          C1C2CC3CC1CC(C2)C3                   -5.48                   -5.49                   -0.01
                                                 C1CC2=C1CC2                   -0.42                   -0.42                    0.00
                                                    C1=CCCC1                   -0.79                   -0.77                    0.02
                                                    C1=CCOC1                   -0.67                   -0.67                    0.00
                                                   C1=CCCCC1                   -0.90                   -0.92                   -0.02
                                                  C1=CCC=CC1                   -0.04                   -0.04                    0.00
                                                     CC1CC1O                   -0.88                   -0.88                   -0.00
                                                    CC1CCCC1                   -0.96                   -1.09                   -0.13
                                                   CC1CCCCC1                   -1.34                   -1.24                    0.10
                                                   CC1CC=CC1                   -1.41                   -1.41                   -0.00
                                                  CCC1CCCCC1                   -1.39                   -1.36                    0.03
                                                    C=C1CCC1                   -0.62                   -0.57                    0.05
                                                    C=CC1CO1                    0.01                    0.01                   -0.00
                                                  CC1[CH]CC1                   -0.09                   -0.09                   -0.00
                                                 CC1C[CH]CC1                   -1.30                   -1.30                   -0.00
                                        CC1CC([O])CC(O[O])C1                   -0.97                   -0.97                   -0.00
                                                   C[C]1CCC1                    0.13                    0.13                    0.00
                                                 C[CH]C1CCC1                   -0.14                   -0.14                   -0.00
                                                C[CH]CC1CCC1                   -0.62                   -0.62                   -0.00
                                                  CC[C]1CCC1                    0.15                    0.15                    0.00
                                                  [O]OC1CCC1                   -0.16                   -0.16                    0.00
                                                [O]OC1CC1[O]                    1.74                    1.74                    0.00
                                               [CH]1C=CCC=C1                    3.07                    3.07                   -0.00
                                                 [CH2]C1CCC1                    0.28                    0.28                   -0.00
                                                OOC1[CH]CCC1                   -0.44                   -0.44                    0.00
                                                   O=C1CCCC1                   -0.17                   -0.21                   -0.04
                                                  O=C1CCCCC1                   -0.35                   -0.35                   -0.00
                                                    C#CC#CCC                    0.38                    0.38                   -0.00
                                                   C#CC#CC#C                   -0.07                    0.21                    0.28
                                                C#CC#CC#CC#C                   -0.75                   -0.86                   -0.11
                                             C#CC#CC#CC#CC#C                   -1.70                   -1.93                   -0.23
                                          C#CC#CC#CC#CC#CC#C                   -2.85                   -3.00                   -0.15
                                       C#CC#CC#CC#CC#CC#CC#C                   -4.04                   -4.07                   -0.03
                                    C#CC#CC#CC#CC#CC#CC#CC#C                   -5.33                   -5.14                    0.19
                                                     C#CC=CC                   -0.04                   -0.04                    0.00
                                                    CC#CC=CC                   -0.06                   -0.06                    0.00
                                                    CC#CC#CC                    0.62                    0.62                   -0.00
                                                    C#CC=CCC                   -0.07                   -0.07                    0.00
                                                   C#CC=CC#C                   -0.57                   -0.57                    0.00
                                                   C#CC=CC=C                   -0.28                   -0.28                    0.00
                                                   C#CC#CC=C                    0.04                    0.04                   -0.00
                                                 C#CC#C[CH2]                   -0.01                   -0.01                   -0.00
                                                 C#CC=C[CH2]                    1.82                    1.82                    0.00
                                                 C=C1C=CC=C1                   -2.64                   -2.64                    0.00
